epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.1526,1.97169,1.59824,1.0946,0.49242,0.50509,0.43111,0.23716,1.71949,1.28288,1.01336,0.000472697,0.000472697,0.000472697
2,85.3831,1.85662,1.08527,1.01159,0.54603,0.4681,0.43915,0.24509,1.71471,1.03683,1.01088,0.000939635,0.000939635,0.000939635
3,127.49,1.86263,1.06728,1.00372,0.47629,0.44093,0.41254,0.224,1.71788,1.00307,1.01133,0.00139714,0.00139714,0.00139714
4,168.61,1.82412,1.05184,1.0038,0.49886,0.48435,0.4243,0.23226,1.75668,1.016,1.01975,0.00138656,0.00138656,0.00138656
5,210.733,1.79654,1.00706,0.98746,0.52646,0.49137,0.45794,0.24854,1.69001,0.97752,0.99125,0.00137241,0.00137241,0.00137241
6,253.628,1.83658,0.98198,0.9747,0.54017,0.51836,0.46676,0.24083,1.69382,1.04121,0.99789,0.00135826,0.00135826,0.00135826
7,295.385,1.78999,0.98288,0.97889,0.53996,0.51873,0.48033,0.2541,1.66197,0.92395,0.98633,0.00134412,0.00134412,0.00134412
8,337.051,1.74559,0.92723,0.96846,0.56243,0.5221,0.48842,0.26051,1.64352,0.94491,0.98533,0.00132997,0.00132997,0.00132997
9,378.849,1.73338,0.92202,0.95977,0.51421,0.49436,0.46668,0.24755,1.65063,0.93338,0.98023,0.00131582,0.00131582,0.00131582
10,420.229,1.73565,0.91881,0.96175,0.62375,0.52731,0.52042,0.26277,1.61198,1.20978,0.97322,0.00130168,0.00130168,0.00130168
11,462.321,1.7285,0.9101,0.96212,0.58597,0.54294,0.51377,0.27762,1.5947,0.87758,0.97948,0.00128753,0.00128753,0.00128753
12,504.018,1.7055,0.89586,0.95846,0.58292,0.54237,0.5267,0.27948,1.5958,0.85696,0.97772,0.00127338,0.00127338,0.00127338
13,546.014,1.7236,0.88273,0.95126,0.61908,0.56121,0.54409,0.28879,1.57715,0.8065,0.96891,0.00125923,0.00125923,0.00125923
14,587.851,1.68507,0.86087,0.95878,0.57671,0.5544,0.53004,0.28291,1.56973,0.86755,0.96354,0.00124509,0.00124509,0.00124509
15,629.562,1.67631,0.86123,0.94201,0.61319,0.51612,0.51446,0.27514,1.60247,0.85891,0.96871,0.00123094,0.00123094,0.00123094
16,670.913,1.65607,0.84784,0.94496,0.62711,0.55798,0.54356,0.28374,1.55535,0.84778,0.96333,0.00121679,0.00121679,0.00121679
17,712.534,1.66235,0.84504,0.94174,0.5868,0.5745,0.53076,0.28066,1.57995,0.80737,0.97125,0.00120265,0.00120265,0.00120265
18,754.279,1.656,0.83341,0.94178,0.60627,0.54304,0.54454,0.29154,1.54893,0.8128,0.96049,0.0011885,0.0011885,0.0011885
19,796.369,1.66585,0.82442,0.94224,0.57911,0.56804,0.52796,0.27577,1.58498,0.79172,0.96477,0.00117435,0.00117435,0.00117435
20,837.899,1.63979,0.80853,0.93997,0.63896,0.58,0.56265,0.30097,1.52151,0.76642,0.94901,0.00116021,0.00116021,0.00116021
21,879.625,1.64277,0.81617,0.93415,0.62176,0.57668,0.56217,0.3029,1.52845,0.79193,0.94991,0.00114606,0.00114606,0.00114606
22,921.801,1.64362,0.80685,0.93794,0.64043,0.57787,0.56766,0.30351,1.54245,0.81771,0.95439,0.00113191,0.00113191,0.00113191
23,963.409,1.65209,0.81575,0.93684,0.62049,0.57602,0.55791,0.29559,1.53963,0.79071,0.95596,0.00111776,0.00111776,0.00111776
24,1005.2,1.61076,0.77923,0.93444,0.63468,0.58814,0.57046,0.30234,1.51808,0.7948,0.94825,0.00110362,0.00110362,0.00110362
25,1047.04,1.64913,0.81009,0.92499,0.64549,0.59331,0.58291,0.30908,1.51972,0.78656,0.95071,0.00108947,0.00108947,0.00108947
26,1089.8,1.67556,0.81634,0.93069,0.64608,0.56853,0.55656,0.30022,1.55428,0.78006,0.95761,0.00107532,0.00107532,0.00107532
27,1132.19,1.65316,0.80735,0.92686,0.64053,0.63407,0.59689,0.31344,1.51534,0.80535,0.94852,0.00106118,0.00106118,0.00106118
28,1173.38,1.57975,0.76588,0.93014,0.62401,0.60471,0.5707,0.3023,1.508,0.76129,0.95123,0.00104703,0.00104703,0.00104703
