epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4561,1.96812,1.5945,1.09296,0.00571,0.46251,0.4887,0.40879,0.22272,1.75893,1.19724,1.01167,0.00169,0.000472697,0.000472697,0.000472697
2,183.083,1.8535,1.0827,1.00982,0.0013,0.5749,0.47564,0.45223,0.24703,1.70455,1.10211,1.00079,0.00131,0.000939635,0.000939635,0.000939635
3,274.467,1.86659,1.07873,1.00766,0.00114,0.47837,0.46023,0.39402,0.21966,1.77459,1.12729,1.02515,0.00449,0.00139714,0.00139714,0.00139714
4,364.082,1.82626,1.0602,1.00002,0.00107,0.52191,0.48016,0.45443,0.24574,1.66987,1.03086,0.99019,0.00129,0.00138656,0.00138656,0.00138656
5,454.594,1.79677,1.0037,0.98762,0.00106,0.5105,0.50065,0.45804,0.24943,1.68651,1.00755,0.99241,0.00112,0.00137241,0.00137241,0.00137241
6,546.105,1.83034,0.99007,0.97496,0.00093,0.51172,0.54422,0.47254,0.25167,1.65037,1.5388,0.99146,0.00113,0.00135826,0.00135826,0.00135826
7,636.924,1.78951,0.99022,0.97798,0.00095,0.55649,0.51711,0.48182,0.25611,1.65299,0.91544,0.98573,0.00124,0.00134412,0.00134412,0.00134412
8,728.232,1.74796,0.93601,0.96509,0.00091,0.564,0.53751,0.49912,0.25681,1.65531,0.92263,0.98799,0.00104,0.00132997,0.00132997,0.00132997
9,819.262,1.74484,0.93549,0.9592,0.00088,0.5376,0.45087,0.45369,0.25069,1.648,0.95047,0.97451,0.00103,0.00131582,0.00131582,0.00131582
10,910.344,1.72695,0.91644,0.96034,0.00087,0.61145,0.55845,0.53377,0.27413,1.62684,1.07414,0.98254,0.00107,0.00130168,0.00130168,0.00130168
11,1003,1.74578,0.91614,0.96541,0.00086,0.58407,0.5549,0.5241,0.27999,1.62699,0.87491,0.98784,0.00101,0.00128753,0.00128753,0.00128753
12,1095.09,1.70489,0.89477,0.95567,0.00086,0.60257,0.53482,0.52618,0.27452,1.60443,0.85417,0.9783,0.00105,0.00127338,0.00127338,0.00127338
13,1187.02,1.72336,0.88968,0.94958,0.00083,0.57524,0.5444,0.53023,0.28365,1.57899,0.85578,0.96964,0.00097,0.00125923,0.00125923,0.00125923
14,1278.68,1.68737,0.86132,0.95533,0.0008,0.59565,0.57106,0.55405,0.29227,1.56488,0.8571,0.96089,0.00095,0.00124509,0.00124509,0.00124509
15,1369.94,1.67798,0.86298,0.94024,0.00076,0.60702,0.53266,0.52052,0.27705,1.58361,0.856,0.96734,0.00102,0.00123094,0.00123094,0.00123094
16,1460.51,1.66245,0.84935,0.94412,0.00077,0.61775,0.55384,0.53781,0.28722,1.56782,0.87786,0.95229,0.0009,0.00121679,0.00121679,0.00121679
17,1552.31,1.66456,0.85605,0.93999,0.00079,0.61083,0.56673,0.53251,0.28107,1.58824,0.829,0.97058,0.00087,0.00120265,0.00120265,0.00120265
18,1643.71,1.6549,0.84055,0.94009,0.00079,0.63268,0.5314,0.53668,0.29372,1.53443,0.81284,0.956,0.00099,0.0011885,0.0011885,0.0011885
19,1734.74,1.6642,0.83012,0.93912,0.00069,0.61189,0.56642,0.54882,0.29002,1.54505,0.78769,0.95763,0.00086,0.00117435,0.00117435,0.00117435
20,1827.34,1.63488,0.81094,0.93914,0.00073,0.59837,0.59454,0.54922,0.29518,1.52054,0.78064,0.94867,0.00088,0.00116021,0.00116021,0.00116021
21,1918.05,1.64269,0.81785,0.93226,0.0007,0.64896,0.57355,0.56686,0.3026,1.51612,0.77233,0.94484,0.00083,0.00114606,0.00114606,0.00114606
22,2009.65,1.64574,0.81064,0.93578,0.00067,0.62726,0.58835,0.56822,0.3042,1.54646,0.78973,0.95091,0.00086,0.00113191,0.00113191,0.00113191
23,2101.52,1.6539,0.82524,0.93187,0.00071,0.60343,0.58944,0.55721,0.29164,1.56546,0.79254,0.95949,0.00086,0.00111776,0.00111776,0.00111776
24,2193.65,1.6072,0.78686,0.93071,0.00072,0.62397,0.58892,0.55853,0.30133,1.52082,0.78458,0.94484,0.00084,0.00110362,0.00110362,0.00110362
25,2284.86,1.65509,0.81582,0.92761,0.0007,0.66716,0.57469,0.56951,0.29736,1.5292,0.7964,0.95442,0.00082,0.00108947,0.00108947,0.00108947
26,2376.8,1.6758,0.81781,0.92694,0.00069,0.66178,0.58152,0.56766,0.29655,1.52761,0.78839,0.94715,0.00086,0.00107532,0.00107532,0.00107532
27,2468.91,1.6546,0.80951,0.92402,0.00067,0.6601,0.61116,0.58897,0.30621,1.49749,0.76343,0.94066,0.00083,0.00106118,0.00106118,0.00106118
28,2559.77,1.57988,0.76527,0.929,0.00066,0.63071,0.58755,0.57077,0.30225,1.5211,0.76576,0.94956,0.00086,0.00104703,0.00104703,0.00104703
29,2651.1,1.59215,0.77851,0.92161,0.00066,0.65686,0.60197,0.58908,0.31044,1.49158,0.74207,0.94225,0.00083,0.00103288,0.00103288,0.00103288
30,2741.93,1.57894,0.78154,0.93098,0.00066,0.67078,0.59209,0.58859,0.31116,1.50163,0.76183,0.94372,0.00083,0.00101873,0.00101873,0.00101873
31,2832.25,1.57336,0.76176,0.93091,0.00067,0.65214,0.59356,0.57767,0.3037,1.53325,0.76087,0.95424,0.0008,0.00100459,0.00100459,0.00100459
32,2923.8,1.60807,0.76847,0.92382,0.00064,0.66623,0.62146,0.60059,0.32231,1.48201,0.74345,0.93548,0.00078,0.00099044,0.00099044,0.00099044
33,3015.25,1.55652,0.75618,0.9215,0.00064,0.65988,0.60597,0.58569,0.3131,1.48247,0.73356,0.93925,0.00075,0.000976293,0.000976293,0.000976293
34,3107.91,1.61022,0.7568,0.91668,0.00064,0.68065,0.61809,0.61352,0.3304,1.46462,0.71858,0.93597,0.00077,0.000962146,0.000962146,0.000962146
35,3199.02,1.58269,0.75046,0.91108,0.00062,0.65575,0.61297,0.59923,0.31517,1.46825,0.74564,0.9343,0.00078,0.000947999,0.000947999,0.000947999
36,3291.14,1.59789,0.75327,0.91622,0.00063,0.65639,0.60646,0.59433,0.31771,1.47112,0.73812,0.9354,0.00081,0.000933851,0.000933851,0.000933851
37,3381.9,1.58108,0.73926,0.91679,0.00061,0.66983,0.63231,0.61161,0.32636,1.45554,0.72938,0.9366,0.00077,0.000919704,0.000919704,0.000919704
38,3472.19,1.59439,0.74625,0.91609,0.00061,0.66667,0.61814,0.60375,0.31962,1.4845,0.72294,0.9463,0.00081,0.000905557,0.000905557,0.000905557
39,3563.75,1.59262,0.74933,0.91558,0.0006,0.69384,0.60708,0.61855,0.32459,1.45536,0.72301,0.93218,0.00078,0.00089141,0.00089141,0.00089141
