epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
1,103.384,1.97759,1.67037,1.10549,0.04863,0,0.52885,0.46984,0.43174,0.23183,1.72295,1.10417,1.00323,0.03414,0,0.000283618,0.000283618,0.000283618,0.08,0
2,200.288,1.81191,1.03837,0.99408,0.02355,0,0.51511,0.49892,0.43755,0.23984,1.68828,1.01781,0.98846,0.01544,0,0.000563781,0.000563781,0.000563781,0.12,0
3,297.184,1.8468,1.04885,0.99532,0.02556,0,0.51334,0.47078,0.42633,0.23097,1.7239,1.32838,1.00203,0.01269,0,0.000838285,0.000838285,0.000838285,0.16,0
4,393.515,1.79647,1.03974,0.9832,0.03467,0,0.60997,0.45617,0.43488,0.24006,1.74177,1.06346,0.99888,0.01474,0,0.00110713,0.00110713,0.00110713,0.2,0
5,490.481,1.81194,1.03221,0.97884,0.04008,0,0.5087,0.50562,0.45132,0.23031,1.76755,1.1113,1.01679,0.0147,0,0.00137032,0.00137032,0.00137032,0.2,0
6,588.039,1.85137,1.01138,0.97265,0.03823,0,0.46187,0.50752,0.43046,0.23765,1.67146,1.49893,0.97778,0.0142,0,0.00135826,0.00135826,0.00135826,0.199947,0
7,684.525,1.79545,1.0191,0.97339,0.03852,0,0.5767,0.49614,0.47036,0.24814,1.69051,1.14474,0.98302,0.01286,0,0.00134412,0.00134412,0.00134412,0.199788,0
8,780.428,1.76402,0.95281,0.96492,0.03606,0,0.60481,0.53194,0.50485,0.26831,1.63654,0.90091,0.96734,0.01216,0,0.00132997,0.00132997,0.00132997,0.199523,0
9,877.031,1.7632,0.93946,0.95663,0.03516,0,0.5525,0.51447,0.49824,0.2547,1.63851,0.99864,0.96965,0.01123,0,0.00131582,0.00131582,0.00131582,0.199152,0
10,973.729,1.74358,0.92773,0.95934,0.03398,0,0.62066,0.57684,0.54806,0.28333,1.60412,0.92333,0.96337,0.01069,0,0.00130168,0.00130168,0.00130168,0.198677,0
11,1071.13,1.74406,0.92228,0.95559,0.03398,0,0.57599,0.54352,0.51908,0.27742,1.63162,0.87826,0.97632,0.0118,0,0.00128753,0.00128753,0.00128753,0.198096,0
12,1168.5,1.71062,0.89467,0.95341,0.03174,0,0.58178,0.55608,0.52817,0.27503,1.59944,0.87289,0.97199,0.01121,0,0.00127338,0.00127338,0.00127338,0.197412,0
