epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
1,103.244,1.98194,1.67537,1.10621,0.21804,0,0.47978,0.45202,0.41014,0.22647,1.73827,1.21557,1.00953,0.12466,0,0.000283618,0.000283618,0.000283618,0.08,0
2,200.801,1.81214,1.04748,0.99551,0.1036,0,0.50072,0.48195,0.42558,0.23018,1.69244,1.01425,0.99768,0.0761,0,0.000563781,0.000563781,0.000563781,0.12,0
3,298.889,1.85286,1.0785,1.0006,0.1351,0,0.50613,0.46549,0.41417,0.22142,1.72452,1.1725,1.00432,0.07413,0,0.000838285,0.000838285,0.000838285,0.16,0
4,395.236,1.83558,1.09939,0.99895,0.19619,0,0.48293,0.44715,0.40786,0.22384,1.79667,1.3201,1.01728,0.08042,0,0.00110713,0.00110713,0.00110713,0.2,0
5,491.935,1.86303,1.08516,0.99806,0.23733,0,0.48687,0.4393,0.41913,0.2294,1.75537,1.08044,1.00761,0.12056,0,0.00137032,0.00137032,0.00137032,0.2,0
6,589.575,1.91285,1.08107,0.99044,0.22327,0,0.53087,0.4721,0.42701,0.23082,1.74649,1.89161,1.00529,0.07978,0,0.00135826,0.00135826,0.00135826,0.199947,0
7,685.89,1.85876,1.08869,0.99135,0.21793,0,0.49796,0.47274,0.42081,0.22944,1.72286,0.99446,0.99207,0.06965,0,0.00134412,0.00134412,0.00134412,0.199788,0
8,782.096,1.82578,1.02688,0.98349,0.20364,0,0.52599,0.47607,0.43724,0.23301,1.72135,1.07515,0.99361,0.06955,0,0.00132997,0.00132997,0.00132997,0.199523,0
9,879.409,1.81218,1.01659,0.96963,0.21059,0,0.45139,0.43318,0.39571,0.20691,1.74796,1.18753,1.00031,0.07015,0,0.00131582,0.00131582,0.00131582,0.199152,0
10,975.671,1.81151,1.0118,0.97637,0.20502,0,0.54077,0.50227,0.45895,0.24188,1.70314,1.24953,0.98667,0.07433,0,0.00130168,0.00130168,0.00130168,0.198677,0
11,1072.79,1.81988,1.00195,0.97676,0.18701,0,0.52181,0.49332,0.44797,0.24714,1.65821,0.95747,0.97819,0.068,0,0.00128753,0.00128753,0.00128753,0.198096,0
12,1169.77,1.77085,0.97913,0.96869,0.19171,0,0.50364,0.50763,0.45361,0.24115,1.677,1.01256,0.98338,0.06831,0,0.00127338,0.00127338,0.00127338,0.197412,0
13,1266.86,1.80562,0.97484,0.96401,0.19401,0,0.55388,0.49207,0.47542,0.25568,1.66167,0.91862,0.98257,0.06399,0,0.00125923,0.00125923,0.00125923,0.196625,0
14,1363.73,1.75035,0.95369,0.96361,0.16431,0,0.57606,0.48319,0.48486,0.25918,1.61582,0.92808,0.96244,0.06793,0,0.00124509,0.00124509,0.00124509,0.195735,0
15,1460.34,1.74678,0.94544,0.95124,0.17656,0,0.54437,0.52342,0.48455,0.25847,1.64862,0.90745,0.97216,0.05502,0,0.00123094,0.00123094,0.00123094,0.194744,0
16,1556.96,1.72272,0.92825,0.9528,0.16499,0,0.58361,0.51794,0.50351,0.26657,1.64365,0.88938,0.96782,0.05633,0,0.00121679,0.00121679,0.00121679,0.193652,0
17,1654.03,1.71958,0.91885,0.94653,0.1462,0,0.54033,0.54619,0.48006,0.25739,1.64324,0.89394,0.96466,0.05015,0,0.00120265,0.00120265,0.00120265,0.192462,0
18,1750.7,1.72133,0.90867,0.94654,0.15603,0,0.54848,0.54486,0.50783,0.27672,1.60225,0.87676,0.96017,0.05513,0,0.0011885,0.0011885,0.0011885,0.191174,0
19,1847.18,1.72468,0.89497,0.9448,0.15418,0,0.5533,0.53074,0.48645,0.26008,1.64983,0.86586,0.96747,0.05506,0,0.00117435,0.00117435,0.00117435,0.189789,0
20,1943.72,1.69459,0.87785,0.94514,0.14649,0,0.57503,0.52837,0.50746,0.2733,1.60887,0.87726,0.95616,0.04782,0,0.00116021,0.00116021,0.00116021,0.18831,0
21,2040.41,1.69425,0.87916,0.93687,0.14161,0,0.6248,0.54629,0.53784,0.2919,1.5592,0.82475,0.94592,0.04891,0,0.00114606,0.00114606,0.00114606,0.186738,0
22,2136.42,1.69427,0.87335,0.94002,0.13569,0,0.59356,0.53949,0.51482,0.27324,1.58348,0.84267,0.95298,0.05203,0,0.00113191,0.00113191,0.00113191,0.185075,0
23,2230.89,1.71079,0.88675,0.94141,0.13756,0,0.57678,0.54768,0.53179,0.27744,1.59467,0.86786,0.95818,0.04849,0,0.00111776,0.00111776,0.00111776,0.183322,0
24,2324.6,1.66,0.84381,0.93942,0.12053,0,0.6003,0.5559,0.52869,0.28362,1.58343,0.83261,0.94835,0.04711,0,0.00110362,0.00110362,0.00110362,0.181482,0
25,2419.67,1.70566,0.88821,0.9318,0.14018,0,0.60022,0.57542,0.54935,0.29477,1.53941,0.81947,0.94575,0.04596,0,0.00108947,0.00108947,0.00108947,0.179556,0
26,2515.64,1.73339,0.88033,0.93222,0.12143,0,0.60453,0.57389,0.54622,0.28768,1.55817,0.8188,0.94407,0.04631,0,0.00107532,0.00107532,0.00107532,0.177547,0
27,2612.03,1.70897,0.87451,0.93095,0.12478,0,0.6177,0.58327,0.55237,0.29575,1.54262,0.83811,0.94544,0.05187,0,0.00106118,0.00106118,0.00106118,0.175457,0
28,2706.76,1.63032,0.83077,0.9332,0.12622,0,0.57653,0.57033,0.52679,0.28158,1.53683,0.82044,0.94455,0.05253,0,0.00104703,0.00104703,0.00104703,0.173288,0
29,2800.99,1.63934,0.83326,0.92425,0.12417,0,0.61997,0.59894,0.57037,0.30114,1.5273,0.78895,0.93812,0.04582,0,0.00103288,0.00103288,0.00103288,0.171043,0
30,2895.89,1.64087,0.84456,0.93912,0.12062,0,0.62733,0.59093,0.55443,0.29015,1.52438,0.79195,0.93735,0.04369,0,0.00101873,0.00101873,0.00101873,0.168725,0
31,2991.66,1.61896,0.81405,0.933,0.09756,0,0.62759,0.56049,0.54564,0.29003,1.56202,0.79992,0.94805,0.05046,0,0.00100459,0.00100459,0.00100459,0.166335,0
32,3088.65,1.65514,0.82682,0.92727,0.11528,0,0.62181,0.57028,0.54621,0.29432,1.51794,0.78016,0.93196,0.04755,0,0.00099044,0.00099044,0.00099044,0.163876,0
33,3184.71,1.60492,0.80469,0.92614,0.11703,0,0.59763,0.58849,0.54348,0.29653,1.5201,0.77253,0.93309,0.04885,0,0.000976293,0.000976293,0.000976293,0.161352,0
34,3282.21,1.66821,0.81678,0.92302,0.09289,0,0.64631,0.57001,0.56551,0.30733,1.51193,0.77104,0.93662,0.04951,0,0.000962146,0.000962146,0.000962146,0.158765,0
35,3378.85,1.63771,0.81201,0.91658,0.10703,0,0.62549,0.5859,0.56234,0.30397,1.5041,0.78798,0.93132,0.04558,0,0.000947999,0.000947999,0.000947999,0.156118,0
36,3475.8,1.64728,0.80432,0.91911,0.0913,0,0.62871,0.61583,0.58335,0.31144,1.50653,0.7691,0.93327,0.04198,0,0.000933851,0.000933851,0.000933851,0.153414,0
37,3570.47,1.63534,0.80067,0.91882,0.08929,0,0.58696,0.61393,0.56548,0.30814,1.48832,0.75806,0.92626,0.04376,0,0.000919704,0.000919704,0.000919704,0.150655,0
38,3665.87,1.65014,0.80894,0.91883,0.09317,0,0.62761,0.58067,0.55886,0.29864,1.49644,0.76994,0.93249,0.04652,0,0.000905557,0.000905557,0.000905557,0.147846,0
39,3762.87,1.63421,0.80567,0.91379,0.08428,0,0.64176,0.59129,0.57515,0.30726,1.50163,0.76763,0.92739,0.04548,0,0.00089141,0.00089141,0.00089141,0.144989,0
40,3860.64,1.62781,0.80436,0.92084,0.07725,0,0.65799,0.59478,0.58082,0.31046,1.4885,0.76698,0.92649,0.04452,0,0.000877263,0.000877263,0.000877263,0.142087,0
41,3957.42,1.56867,0.77998,0.91944,0.08363,0,0.65973,0.60579,0.59172,0.31676,1.49551,0.74988,0.9283,0.04393,0,0.000863116,0.000863116,0.000863116,0.139144,0
42,4054.82,1.58676,0.77354,0.91398,0.07645,0,0.67058,0.58541,0.5879,0.31885,1.4862,0.76051,0.92515,0.03856,0,0.000848969,0.000848969,0.000848969,0.136162,0
43,4150.85,1.6232,0.79104,0.9112,0.07881,0,0.66572,0.58122,0.58192,0.31573,1.48489,0.75069,0.92639,0.04368,0,0.000834822,0.000834822,0.000834822,0.133146,0
44,4247.97,1.59089,0.77307,0.90975,0.07172,0,0.66886,0.5963,0.58052,0.31261,1.49114,0.75409,0.93102,0.0435,0,0.000820675,0.000820675,0.000820675,0.130099,0
45,4344.35,1.58765,0.7845,0.9095,0.06691,0,0.68366,0.58559,0.59444,0.31387,1.49449,0.71556,0.93054,0.04105,0,0.000806528,0.000806528,0.000806528,0.127023,0
46,4440.65,1.59136,0.77687,0.91386,0.06447,0,0.6697,0.5849,0.58584,0.30248,1.50615,0.75389,0.92772,0.04609,0,0.00079238,0.00079238,0.00079238,0.123923,0
47,4537.89,1.57405,0.7646,0.9104,0.07212,0,0.68828,0.61921,0.61265,0.32614,1.48088,0.73849,0.92428,0.04075,0,0.000778233,0.000778233,0.000778233,0.120801,0
48,4634.66,1.59404,0.76655,0.90714,0.0527,0,0.68576,0.59707,0.60916,0.31821,1.49179,0.72275,0.92777,0.03758,0,0.000764086,0.000764086,0.000764086,0.117662,0
49,4732.67,1.58844,0.75826,0.90588,0.06301,0,0.68518,0.61234,0.6071,0.32389,1.46602,0.72818,0.92595,0.04333,0,0.000749939,0.000749939,0.000749939,0.114509,0
50,4827.73,1.57542,0.76418,0.90684,0.0611,0,0.68083,0.62066,0.61633,0.32563,1.44959,0.7212,0.92142,0.03952,0,0.000735792,0.000735792,0.000735792,0.111345,0
51,4924.5,1.57809,0.75692,0.90729,0.05392,0,0.68611,0.629,0.62145,0.32659,1.47814,0.72512,0.92643,0.04072,0,0.000721645,0.000721645,0.000721645,0.108174,0
52,5021.28,1.58145,0.75407,0.90189,0.05268,0,0.68866,0.60153,0.60179,0.32166,1.4626,0.72842,0.91838,0.04177,0,0.000707498,0.000707498,0.000707498,0.105,0
53,5116.43,1.53916,0.75277,0.90534,0.04999,0,0.6545,0.61649,0.60216,0.32019,1.49034,0.71051,0.92669,0.03921,0,0.000693351,0.000693351,0.000693351,0.101826,0
54,5212.28,1.56267,0.73586,0.90333,0.04755,0,0.67318,0.61192,0.60808,0.32349,1.4614,0.71524,0.91957,0.03922,0,0.000679204,0.000679204,0.000679204,0.0986547,0
55,5309.3,1.57741,0.74977,0.89706,0.04535,0,0.65315,0.61106,0.60126,0.32001,1.46377,0.71043,0.92022,0.03985,0,0.000665057,0.000665057,0.000665057,0.0954909,0
56,5407.68,1.57942,0.75302,0.90583,0.0469,0,0.67283,0.62122,0.61027,0.32835,1.44794,0.72492,0.92091,0.03774,0,0.000650909,0.000650909,0.000650909,0.0923377,0
57,5503.74,1.5583,0.74198,0.89943,0.04479,0,0.71837,0.6229,0.62453,0.33308,1.4331,0.71819,0.91749,0.0374,0,0.000636762,0.000636762,0.000636762,0.0891987,0
58,5599.84,1.54973,0.73677,0.89736,0.03659,0,0.70449,0.62662,0.62409,0.33308,1.45027,0.70448,0.91871,0.03884,0,0.000622615,0.000622615,0.000622615,0.0860773,0
59,5697.13,1.55947,0.74377,0.90031,0.04587,0,0.69421,0.61913,0.62696,0.34046,1.4383,0.69562,0.91621,0.03647,0,0.000608468,0.000608468,0.000608468,0.0829771,0
60,5792.45,1.53114,0.7146,0.90478,0.03556,0,0.66541,0.60937,0.61015,0.32639,1.46707,0.70951,0.92156,0.03555,0,0.000594321,0.000594321,0.000594321,0.0799014,0
61,5886.86,1.55399,0.73316,0.89991,0.03196,0,0.68126,0.62259,0.61522,0.32695,1.45928,0.73787,0.9202,0.03879,0,0.000580174,0.000580174,0.000580174,0.0768538,0
62,5983.08,1.5335,0.71688,0.89447,0.03415,0,0.69722,0.62454,0.6211,0.33337,1.44574,0.70478,0.91546,0.03498,0,0.000566027,0.000566027,0.000566027,0.0738376,0
63,6079.74,1.53452,0.7128,0.89924,0.03098,0,0.67728,0.65263,0.62419,0.33522,1.43919,0.68926,0.91773,0.03528,0,0.00055188,0.00055188,0.00055188,0.0708563,0
64,6175.63,1.54614,0.71888,0.89936,0.03145,0,0.68696,0.63451,0.62535,0.33127,1.43871,0.69644,0.91728,0.035,0,0.000537733,0.000537733,0.000537733,0.067913,0
65,6272.66,1.53783,0.71273,0.89159,0.02519,0,0.69369,0.62882,0.6222,0.33437,1.44515,0.69359,0.92354,0.03487,0,0.000523586,0.000523586,0.000523586,0.0650112,0
66,6370.33,1.58155,0.72937,0.88965,0.02821,0,0.69691,0.62694,0.6324,0.3389,1.43359,0.67879,0.91504,0.03687,0,0.000509438,0.000509438,0.000509438,0.062154,0
67,6467.56,1.50494,0.69852,0.89537,0.02672,0,0.66203,0.64513,0.62526,0.335,1.43368,0.68262,0.91379,0.03549,0,0.000495291,0.000495291,0.000495291,0.0593447,0
68,6565.04,1.50685,0.70337,0.8942,0.02539,0,0.68177,0.64316,0.62788,0.33758,1.43216,0.70025,0.91529,0.03518,0,0.000481144,0.000481144,0.000481144,0.0565864,0
