epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
1,100.07,1.98259,1.67591,1.10667,0.03565,0,0.52037,0.44782,0.41634,0.23237,1.71633,1.17171,1.00359,0.02984,0,0.000283618,0.000283618,0.000283618,0.08,0
2,196.16,1.81345,1.04165,0.99654,0.02044,0,0.53251,0.47858,0.4446,0.24474,1.68702,0.99698,0.99763,0.01201,0,0.000563781,0.000563781,0.000563781,0.12,0
3,295.15,1.84946,1.05433,1.00012,0.01825,0,0.54839,0.46933,0.44015,0.22939,1.70054,1.4756,0.99452,0.01089,0,0.000838285,0.000838285,0.000838285,0.16,0
4,391.68,1.80354,1.03993,0.98904,0.02448,0,0.51982,0.48523,0.41733,0.22821,1.74444,1.1992,1.00835,0.01139,0,0.00110713,0.00110713,0.00110713,0.2,0
5,487.586,1.81315,1.02268,0.9901,0.02829,0,0.49987,0.49819,0.46483,0.24699,1.66921,1.08351,0.99213,0.01,0,0.00137032,0.00137032,0.00137032,0.2,0
6,583.997,1.84968,0.99543,0.9774,0.02528,0,0.54258,0.52772,0.47377,0.25487,1.64994,1.4166,0.98533,0.00891,0,0.00135826,0.00135826,0.00135826,0.199947,0
7,679.926,1.78511,0.98615,0.97497,0.02743,0,0.55667,0.51351,0.47495,0.25273,1.69441,1.03231,0.988,0.00918,0,0.00134412,0.00134412,0.00134412,0.199788,0
8,774.971,1.76167,0.94792,0.96965,0.02685,0,0.58494,0.54534,0.50208,0.26028,1.62811,0.93171,0.97507,0.00874,0,0.00132997,0.00132997,0.00132997,0.199523,0
9,871.493,1.74744,0.92797,0.95807,0.02546,0,0.51733,0.49552,0.47106,0.25606,1.62567,1.04872,0.97447,0.00911,0,0.00131582,0.00131582,0.00131582,0.199152,0
10,967.273,1.73701,0.92043,0.96151,0.0251,0,0.57222,0.55495,0.50174,0.26489,1.64148,0.99132,0.98388,0.00859,0,0.00130168,0.00130168,0.00130168,0.198677,0
11,1063.78,1.75254,0.92371,0.96535,0.02501,0,0.61317,0.54679,0.5288,0.2806,1.63688,0.88441,0.98692,0.00806,0,0.00128753,0.00128753,0.00128753,0.198096,0
12,1158.77,1.72169,0.8991,0.96046,0.02452,0,0.60553,0.56145,0.53684,0.27423,1.60719,0.84266,0.97527,0.00804,0,0.00127338,0.00127338,0.00127338,0.197412,0
13,1254.19,1.73882,0.88966,0.95381,0.02288,0,0.61309,0.5534,0.53404,0.28614,1.57042,0.82327,0.96283,0.0078,0,0.00125923,0.00125923,0.00125923,0.196625,0
14,1350.03,1.70321,0.86505,0.96017,0.02116,0,0.60094,0.56443,0.53319,0.2833,1.55437,0.85698,0.96026,0.00835,0,0.00124509,0.00124509,0.00124509,0.195735,0
15,1447.66,1.67949,0.86043,0.94426,0.02401,0,0.5906,0.5496,0.53253,0.28541,1.5881,0.84628,0.9684,0.00738,0,0.00123094,0.00123094,0.00123094,0.194744,0
16,1544.23,1.66413,0.85074,0.94759,0.0208,0,0.58784,0.55926,0.52427,0.27483,1.58746,0.99653,0.96314,0.00828,0,0.00121679,0.00121679,0.00121679,0.193652,0
17,1639.73,1.66826,0.84824,0.94307,0.01846,0,0.6068,0.56619,0.54011,0.28155,1.60167,0.81065,0.97473,0.00701,0,0.00120265,0.00120265,0.00120265,0.192462,0
18,1737.08,1.6583,0.82834,0.94315,0.01988,0,0.64701,0.57971,0.56875,0.29886,1.52979,0.78297,0.95417,0.00761,0,0.0011885,0.0011885,0.0011885,0.191174,0
19,1833.28,1.67207,0.83146,0.94187,0.01862,0,0.62036,0.53988,0.51389,0.27056,1.61507,0.82801,0.97118,0.00778,0,0.00117435,0.00117435,0.00117435,0.189789,0
20,1929.83,1.64288,0.81524,0.93956,0.01734,0,0.62451,0.58476,0.56134,0.29896,1.51807,0.78267,0.94778,0.00734,0,0.00116021,0.00116021,0.00116021,0.18831,0
21,2025.01,1.64721,0.81825,0.93372,0.01772,0,0.64868,0.568,0.5561,0.29712,1.54153,0.79592,0.95434,0.00675,0,0.00114606,0.00114606,0.00114606,0.186738,0
22,2121.86,1.64606,0.81249,0.93975,0.01668,0,0.64652,0.59141,0.56582,0.30113,1.53554,0.85792,0.95079,0.00711,0,0.00113191,0.00113191,0.00113191,0.185075,0
23,2217.58,1.66228,0.82165,0.93986,0.01808,0,0.62579,0.5929,0.5701,0.29987,1.55163,0.77492,0.9616,0.00661,0,0.00111776,0.00111776,0.00111776,0.183322,0
24,2314.52,1.60476,0.78057,0.93219,0.01514,0,0.65429,0.58365,0.57187,0.30317,1.52446,0.78309,0.94416,0.00699,0,0.00110362,0.00110362,0.00110362,0.181482,0
25,2410.54,1.65316,0.80893,0.92577,0.01788,0,0.66123,0.62509,0.59226,0.30624,1.52368,0.80041,0.95081,0.00703,0,0.00108947,0.00108947,0.00108947,0.179556,0
26,2506.91,1.67487,0.81065,0.92922,0.01592,0,0.6396,0.58125,0.57378,0.30155,1.53992,0.78017,0.95592,0.0073,0,0.00107532,0.00107532,0.00107532,0.177547,0
27,2603.02,1.6542,0.80304,0.92539,0.01566,0,0.66016,0.62816,0.60423,0.3178,1.51676,0.75585,0.94647,0.00617,0,0.00106118,0.00106118,0.00106118,0.175457,0
28,2698.33,1.57911,0.76667,0.92982,0.01601,0,0.62339,0.59402,0.55492,0.29411,1.55204,0.76061,0.95998,0.00666,0,0.00104703,0.00104703,0.00104703,0.173288,0
29,2795.21,1.58975,0.77159,0.92166,0.01528,0,0.67462,0.62198,0.60661,0.31512,1.51044,0.74664,0.94684,0.00624,0,0.00103288,0.00103288,0.00103288,0.171043,0
30,2889.76,1.58654,0.78033,0.93379,0.01506,0,0.652,0.60269,0.59568,0.31251,1.48708,0.75448,0.94091,0.00628,0,0.00101873,0.00101873,0.00101873,0.168725,0
31,2985.46,1.57356,0.75658,0.93115,0.01411,0,0.68155,0.59484,0.59424,0.31024,1.53353,0.74749,0.95367,0.00609,0,0.00100459,0.00100459,0.00100459,0.166335,0
32,3082.42,1.60078,0.76058,0.92283,0.01415,0,0.65837,0.62761,0.59833,0.31856,1.48893,0.73806,0.9383,0.00662,0,0.00099044,0.00099044,0.00099044,0.163876,0
33,3177,1.54929,0.74711,0.92105,0.01428,0,0.65439,0.60152,0.59042,0.31749,1.47766,0.73373,0.93962,0.0063,0,0.000976293,0.000976293,0.000976293,0.161352,0
