epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2
1,95.919,1.96514,1.6086,1.09262,0.00575,0,0.46331,0.48327,0.41472,0.22434,1.75066,1.09001,1.01291,0.00191,0,0.000472697,0.000472697,0.000472697
2,189.294,1.85669,1.08162,1.00955,0.00148,0,0.4197,0.47528,0.38622,0.21867,1.71562,3.3524,1.00605,0.00157,0,0.000939635,0.000939635,0.000939635
3,284.948,1.85688,1.06696,1.00386,0.00122,0,0.49089,0.49118,0.41953,0.22503,1.75648,1.15636,1.01461,0.00134,0,0.00139714,0.00139714,0.00139714
4,379.581,1.80775,1.03744,0.99883,0.00107,0,0.5746,0.50205,0.45628,0.24745,1.67128,1.0195,0.99201,0.00115,0,0.00138656,0.00138656,0.00138656
5,474.506,1.79954,1.01898,0.98692,0.00105,0,0.50677,0.47908,0.4244,0.22964,1.73584,1.08927,1.01238,0.00126,0,0.00137241,0.00137241,0.00137241
6,570.413,1.8388,0.98907,0.9779,0.00097,0,0.77345,0.4232,0.47276,0.25191,1.66152,1.48767,0.99428,0.00117,0,0.00135826,0.00135826,0.00135826
7,663.782,1.77769,0.98123,0.97467,0.00093,0,0.57219,0.53622,0.49624,0.25972,1.6536,1.02248,0.98221,0.00137,0,0.00134412,0.00134412,0.00134412
8,756.615,1.74678,0.93774,0.96885,0.0009,0,0.57126,0.53055,0.48117,0.25556,1.64317,0.93799,0.98002,0.00101,0,0.00132997,0.00132997,0.00132997
9,849.404,1.74019,0.9284,0.95903,0.00086,0,0.57463,0.48373,0.49109,0.25863,1.62828,0.90337,0.97605,0.00103,0,0.00131582,0.00131582,0.00131582
10,941.869,1.72636,0.91549,0.96139,0.00083,0,0.6243,0.56354,0.53295,0.27557,1.60534,1.02956,0.97651,0.00097,0,0.00130168,0.00130168,0.00130168
11,1035.34,1.73469,0.90977,0.96028,0.00085,0,0.62341,0.54432,0.53143,0.28715,1.59196,0.8523,0.97461,0.00098,0,0.00128753,0.00128753,0.00128753
