epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,train/teacher_sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,val/teacher_sal_loss,lr/pg0,lr/pg1,lr/pg2,lambda_sal,beta_teacher
1,95.9501,1.98059,1.67431,1.105,0.00268,0,0.48981,0.48338,0.42796,0.23754,1.69082,1.13666,1.0008,0.00078,0,0.000283618,0.000283618,0.000283618,0.08,0
2,188.483,1.81462,1.04565,0.9986,0.00126,0,0.52517,0.51524,0.45307,0.24665,1.71358,0.99124,1.00807,0.00055,0,0.000563781,0.000563781,0.000563781,0.12,0
3,281.263,1.84631,1.03765,0.99849,0.00144,0,0.44847,0.45984,0.4026,0.2127,1.78183,1.11685,1.01768,0.00051,0,0.000838285,0.000838285,0.000838285,0.16,0
4,373.8,1.79733,1.04191,0.9872,0.00168,0,0.44186,0.47239,0.38241,0.19644,1.72117,1.17233,0.99814,0.00091,0,0.00110713,0.00110713,0.00110713,0.2,0
5,466.257,1.81434,1.01976,0.98526,0.00204,0,0.46672,0.48823,0.41968,0.22722,1.71679,1.18752,1.00132,0.00047,0,0.00137032,0.00137032,0.00137032,0.2,0
6,559.691,1.84592,0.99544,0.97471,0.00184,0,0.53766,0.51823,0.45489,0.2451,1.66647,1.37717,0.99071,0.00045,0,0.00135826,0.00135826,0.00135826,0.199947,0
7,651.642,1.79069,0.99691,0.97663,0.00179,0,0.54746,0.52449,0.47858,0.25345,1.67175,0.92509,0.98876,0.00043,0,0.00134412,0.00134412,0.00134412,0.199788,0
8,744.273,1.75989,0.94718,0.96718,0.00175,0,0.56302,0.54933,0.50925,0.2661,1.6427,1.02726,0.97864,0.0004,0,0.00132997,0.00132997,0.00132997,0.199523,0
9,836.829,1.75039,0.94051,0.95562,0.00169,0,0.49075,0.49972,0.45815,0.2508,1.63779,0.89666,0.97069,0.00038,0,0.00131582,0.00131582,0.00131582,0.199152,0
10,928.797,1.74369,0.92933,0.96111,0.00155,0,0.57721,0.55571,0.51966,0.26489,1.62242,0.96314,0.97238,0.00039,0,0.00130168,0.00130168,0.00130168,0.198677,0
11,1020.82,1.74472,0.91801,0.95978,0.00163,0,0.60927,0.55335,0.53378,0.28058,1.64024,0.85974,0.9839,0.00036,0,0.00128753,0.00128753,0.00128753,0.198096,0
12,1112.21,1.7138,0.90372,0.95404,0.00159,0,0.5893,0.54081,0.52963,0.27622,1.60207,0.84667,0.97161,0.00036,0,0.00127338,0.00127338,0.00127338,0.197412,0
13,1204.14,1.73851,0.88628,0.94852,0.00154,0,0.61374,0.56852,0.54953,0.29249,1.56825,0.81287,0.95758,0.00033,0,0.00125923,0.00125923,0.00125923,0.196625,0
