epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.506,1.96835,1.60479,1.1005,0.44469,0.48501,0.41785,0.22568,1.72832,1.17345,1.02276,0.000472697,0.000472697,0.000472697
2,90.4187,1.8613,1.08986,1.01619,0.52548,0.46581,0.43207,0.24219,1.74148,1.01796,1.02684,0.000939635,0.000939635,0.000939635
3,133.958,1.86591,1.06181,1.0125,0.58164,0.41882,0.43205,0.22076,1.81263,1.4052,1.04665,0.00139714,0.00139714,0.00139714
4,177.588,1.82501,1.05174,1.00854,0.5185,0.46509,0.42398,0.2341,1.70332,1.06,1.00069,0.00138656,0.00138656,0.00138656
5,221.338,1.79799,0.99694,0.99037,0.48543,0.51301,0.4521,0.24543,1.67755,1.07587,1.00218,0.00137241,0.00137241,0.00137241
6,266.299,1.84137,0.98347,0.98018,0.57362,0.4919,0.45576,0.24355,1.68379,1.21697,0.99023,0.00135826,0.00135826,0.00135826
7,309.824,1.78027,0.97711,0.98007,0.57029,0.53988,0.49852,0.26545,1.64688,0.90667,0.99522,0.00134412,0.00134412,0.00134412
8,353.576,1.74128,0.92446,0.97135,0.57794,0.55546,0.50091,0.26261,1.64184,1.02605,0.98739,0.00132997,0.00132997,0.00132997
9,397.291,1.74189,0.92605,0.96149,0.53584,0.48999,0.48121,0.25863,1.6112,0.93414,0.97921,0.00131582,0.00131582,0.00131582
10,440.856,1.73982,0.91779,0.96856,0.61337,0.5606,0.53894,0.28115,1.59849,1.04303,0.98788,0.00130168,0.00130168,0.00130168
11,485.043,1.73575,0.91541,0.96815,0.5901,0.55634,0.53302,0.28245,1.6136,0.85134,0.99149,0.00128753,0.00128753,0.00128753
12,528.909,1.69798,0.88523,0.95845,0.5827,0.53708,0.51802,0.27063,1.60902,0.85808,0.98287,0.00127338,0.00127338,0.00127338
13,572.988,1.72893,0.8887,0.95645,0.60885,0.56963,0.54406,0.28826,1.56145,0.81723,0.96431,0.00125923,0.00125923,0.00125923
14,616.925,1.68411,0.85313,0.95722,0.62399,0.56461,0.54969,0.29186,1.55433,0.855,0.962,0.00124509,0.00124509,0.00124509
15,660.628,1.6768,0.85228,0.94449,0.60668,0.55363,0.53162,0.28033,1.56629,0.83199,0.96984,0.00123094,0.00123094,0.00123094
16,704.218,1.66231,0.85209,0.95113,0.6247,0.59357,0.55481,0.28906,1.56601,0.89077,0.96441,0.00121679,0.00121679,0.00121679
17,747.89,1.66271,0.84974,0.94316,0.59456,0.56643,0.52466,0.27447,1.6082,0.8206,0.9853,0.00120265,0.00120265,0.00120265
18,791.615,1.66114,0.8324,0.94542,0.63697,0.56713,0.55632,0.29585,1.54798,0.78686,0.96388,0.0011885,0.0011885,0.0011885
19,835.75,1.6698,0.83071,0.94312,0.59749,0.52255,0.51009,0.26831,1.61405,0.83125,0.97834,0.00117435,0.00117435,0.00117435
20,879.542,1.63715,0.81071,0.94265,0.62043,0.59174,0.56278,0.29446,1.53189,0.80728,0.95288,0.00116021,0.00116021,0.00116021
21,923.326,1.64334,0.81455,0.9348,0.61674,0.58055,0.55874,0.30043,1.52388,0.76559,0.94988,0.00114606,0.00114606,0.00114606
22,967.485,1.64734,0.81318,0.94043,0.63207,0.60343,0.57677,0.30524,1.53233,0.79132,0.94958,0.00113191,0.00113191,0.00113191
23,1011.05,1.65813,0.81555,0.94009,0.61796,0.56358,0.5517,0.29286,1.56843,0.79905,0.9675,0.00111776,0.00111776,0.00111776
24,1054.92,1.61042,0.77747,0.93735,0.64777,0.57738,0.56728,0.30301,1.52892,0.77523,0.95435,0.00110362,0.00110362,0.00110362
25,1098.81,1.64944,0.80694,0.92988,0.65586,0.60664,0.58752,0.30632,1.52444,0.79093,0.96018,0.00108947,0.00108947,0.00108947
26,1143.73,1.67519,0.81324,0.93281,0.6466,0.57546,0.56363,0.30033,1.55589,0.77573,0.96334,0.00107532,0.00107532,0.00107532
