epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5851,2.05116,1.68188,1.12149,0.47286,0.44122,0.39481,0.2277,1.74745,1.63814,1.01341,0.000472697,0.000472697,0.000472697
2,92.7001,1.88422,1.13671,1.03165,0.51759,0.47255,0.43251,0.22347,1.75161,1.07855,1.02803,0.000939635,0.000939635,0.000939635
3,137.025,1.86727,1.1089,1.02246,0.42851,0.44547,0.40652,0.21858,1.80359,1.2846,1.03362,0.00139714,0.00139714,0.00139714
4,182.01,1.84239,1.10991,1.00958,0.55179,0.50147,0.45499,0.24502,1.68604,1.00986,0.99459,0.00138656,0.00138656,0.00138656
5,226.794,1.84414,1.05141,0.99524,0.49831,0.50134,0.43198,0.23649,1.72715,1.16498,1.0035,0.00137241,0.00137241,0.00137241
6,271.621,1.80727,1.01742,0.99417,0.53571,0.53458,0.47652,0.24761,1.63846,0.90248,0.98229,0.00135826,0.00135826,0.00135826
7,317.185,1.82809,1.02149,0.9836,0.54873,0.49583,0.45091,0.24495,1.68633,1.26148,0.988,0.00134412,0.00134412,0.00134412
8,360.989,1.73121,0.98439,0.9781,0.58309,0.53651,0.50783,0.26596,1.62199,0.92069,0.97932,0.00132997,0.00132997,0.00132997
9,406,1.79023,0.97753,0.97869,0.60772,0.52429,0.50677,0.26774,1.61143,0.88763,0.97709,0.00131582,0.00131582,0.00131582
10,451.319,1.76955,0.97595,0.97187,0.60423,0.51977,0.50116,0.26736,1.6363,0.92268,0.98375,0.00130168,0.00130168,0.00130168
11,496.278,1.77864,0.95347,0.97383,0.55929,0.53821,0.52183,0.27808,1.5849,0.87366,0.97705,0.00128753,0.00128753,0.00128753
12,540.948,1.73278,0.94337,0.96917,0.57124,0.51879,0.49711,0.26721,1.62009,0.92869,0.97302,0.00127338,0.00127338,0.00127338
13,586.314,1.7639,0.93958,0.9582,0.56558,0.5401,0.49276,0.26378,1.59593,0.91929,0.96721,0.00125923,0.00125923,0.00125923
14,631.454,1.74522,0.94138,0.96353,0.5827,0.57638,0.52039,0.27319,1.55676,0.89747,0.9602,0.00124509,0.00124509,0.00124509
15,676.397,1.75175,0.91528,0.95756,0.60444,0.55491,0.53094,0.28826,1.55529,0.83258,0.96148,0.00123094,0.00123094,0.00123094
16,720.616,1.71299,0.90666,0.95629,0.59872,0.57812,0.53688,0.27775,1.57222,0.80486,0.97007,0.00121679,0.00121679,0.00121679
17,764.852,1.70825,0.91012,0.96102,0.61217,0.57891,0.54011,0.2794,1.58109,0.85817,0.97218,0.00120265,0.00120265,0.00120265
18,809.739,1.72372,0.88822,0.95396,0.59716,0.56132,0.54232,0.28556,1.52706,0.86479,0.96102,0.0011885,0.0011885,0.0011885
19,854.549,1.67491,0.85828,0.9479,0.5996,0.58118,0.53971,0.2801,1.58661,0.8146,0.96717,0.00117435,0.00117435,0.00117435
20,898.609,1.6822,0.87652,0.94724,0.62334,0.58139,0.54967,0.28618,1.55082,0.83072,0.95864,0.00116021,0.00116021,0.00116021
21,944.024,1.68092,0.86709,0.94587,0.66376,0.57762,0.56413,0.301,1.52281,0.7796,0.95564,0.00114606,0.00114606,0.00114606
22,988.983,1.66186,0.84974,0.93815,0.62976,0.59907,0.57159,0.30468,1.49602,0.82145,0.94455,0.00113191,0.00113191,0.00113191
23,1033.74,1.66751,0.86324,0.94771,0.61688,0.58875,0.55509,0.29151,1.56449,0.81221,0.96812,0.00111776,0.00111776,0.00111776
24,1077.98,1.62167,0.82056,0.94364,0.6745,0.58994,0.59211,0.31272,1.50204,0.75807,0.94834,0.00110362,0.00110362,0.00110362
25,1121.99,1.6347,0.82661,0.93908,0.66612,0.57935,0.58247,0.31109,1.50245,0.75625,0.9496,0.00108947,0.00108947,0.00108947
26,1166.94,1.6289,0.81785,0.93675,0.61969,0.58635,0.56787,0.30226,1.50754,0.77533,0.94607,0.00107532,0.00107532,0.00107532
27,1211.45,1.61964,0.82496,0.94118,0.65785,0.6047,0.60107,0.31838,1.50246,0.74839,0.94498,0.00106118,0.00106118,0.00106118
28,1256.37,1.62813,0.81505,0.93272,0.66437,0.59132,0.57841,0.30879,1.49175,0.82501,0.94818,0.00104703,0.00104703,0.00104703
29,1300.9,1.61537,0.81165,0.93834,0.66186,0.58687,0.58322,0.30998,1.48867,0.76735,0.9386,0.00103288,0.00103288,0.00103288
30,1346.4,1.64028,0.8383,0.93504,0.63965,0.61579,0.59063,0.31609,1.48767,0.73674,0.94363,0.00101873,0.00101873,0.00101873
31,1390.95,1.61203,0.80968,0.93225,0.63163,0.60388,0.57578,0.30753,1.49281,0.74641,0.95226,0.00100459,0.00100459,0.00100459
32,1436.07,1.65973,0.81653,0.93129,0.66394,0.58656,0.58362,0.30369,1.51723,0.73215,0.94903,0.00099044,0.00099044,0.00099044
33,1480.17,1.63095,0.81976,0.93367,0.6177,0.58497,0.58156,0.31621,1.47654,0.74537,0.9433,0.000976293,0.000976293,0.000976293
34,1524.77,1.60932,0.79393,0.93083,0.66518,0.61874,0.60151,0.32146,1.4647,0.75646,0.93534,0.000962146,0.000962146,0.000962146
35,1569.44,1.63159,0.81672,0.92951,0.65791,0.6041,0.5946,0.31232,1.49181,0.76254,0.93842,0.000947999,0.000947999,0.000947999
36,1613.57,1.59396,0.79896,0.93494,0.64909,0.59811,0.57977,0.30248,1.51568,0.75729,0.95183,0.000933851,0.000933851,0.000933851
37,1658.03,1.61491,0.81954,0.92129,0.64034,0.6268,0.59476,0.31691,1.47323,0.75826,0.93729,0.000919704,0.000919704,0.000919704
38,1702.59,1.58814,0.78001,0.93031,0.64004,0.60762,0.58283,0.30973,1.50075,0.74944,0.94595,0.000905557,0.000905557,0.000905557
39,1747.67,1.62215,0.81538,0.92878,0.65682,0.61477,0.58233,0.31372,1.46531,0.71945,0.93526,0.00089141,0.00089141,0.00089141
40,1792.74,1.58232,0.77314,0.91953,0.65271,0.62532,0.61086,0.32512,1.45326,0.71697,0.93364,0.000877263,0.000877263,0.000877263
41,1837.85,1.61738,0.78586,0.91798,0.67671,0.63667,0.62362,0.33208,1.4452,0.7087,0.93208,0.000863116,0.000863116,0.000863116
42,1883.48,1.61335,0.7814,0.9212,0.68147,0.61744,0.60728,0.32218,1.45571,0.71811,0.93732,0.000848969,0.000848969,0.000848969
43,1928.62,1.60906,0.80174,0.91433,0.67965,0.64283,0.62832,0.33197,1.4368,0.70208,0.92814,0.000834822,0.000834822,0.000834822
44,1973.3,1.59599,0.77416,0.92279,0.64803,0.60791,0.58702,0.30562,1.48371,0.72638,0.9387,0.000820675,0.000820675,0.000820675
45,2017.64,1.57013,0.76164,0.91835,0.67037,0.62565,0.6197,0.33012,1.44855,0.69652,0.93192,0.000806528,0.000806528,0.000806528
46,2062.59,1.60452,0.77952,0.91251,0.66374,0.61987,0.60818,0.32218,1.47055,0.71476,0.93613,0.00079238,0.00079238,0.00079238
47,2106.88,1.57617,0.77115,0.91759,0.68468,0.62435,0.61676,0.33118,1.44282,0.70596,0.9299,0.000778233,0.000778233,0.000778233
48,2151.81,1.59054,0.7611,0.91874,0.65483,0.64529,0.62052,0.33013,1.44313,0.69978,0.92885,0.000764086,0.000764086,0.000764086
49,2196.19,1.56035,0.76117,0.92002,0.67841,0.64078,0.622,0.33384,1.4257,0.67969,0.92608,0.000749939,0.000749939,0.000749939
50,2241.35,1.57424,0.7567,0.91905,0.67908,0.62361,0.62245,0.3347,1.43606,0.69716,0.93351,0.000735792,0.000735792,0.000735792
51,2286.34,1.58795,0.76614,0.92218,0.68719,0.65089,0.63486,0.33832,1.45691,0.71622,0.93828,0.000721645,0.000721645,0.000721645
52,2330.57,1.56732,0.74632,0.91773,0.68927,0.63337,0.6272,0.33363,1.44421,0.70238,0.93277,0.000707498,0.000707498,0.000707498
53,2375.18,1.56313,0.74723,0.91397,0.6789,0.63597,0.63233,0.33234,1.43208,0.69711,0.9283,0.000693351,0.000693351,0.000693351
54,2420.64,1.56468,0.73808,0.91091,0.67367,0.62958,0.61277,0.32118,1.45482,0.70599,0.93544,0.000679204,0.000679204,0.000679204
55,2464.5,1.55142,0.74206,0.91812,0.68109,0.64508,0.62449,0.3356,1.44261,0.695,0.93202,0.000665057,0.000665057,0.000665057
56,2508.54,1.54746,0.7394,0.92006,0.69263,0.65525,0.64009,0.33691,1.43231,0.67301,0.92841,0.000650909,0.000650909,0.000650909
57,2553.44,1.53801,0.73047,0.91046,0.69761,0.64119,0.63434,0.34031,1.42852,0.68264,0.92658,0.000636762,0.000636762,0.000636762
58,2597.6,1.52429,0.73394,0.91015,0.68249,0.64005,0.62448,0.33557,1.43058,0.67742,0.92978,0.000622615,0.000622615,0.000622615
